handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost
black-eclipse-earrings-18k-gold-plated,Product,Black Eclipse Earrings 18k Gold Plated,"Product Description :  *Designer : Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 0,59  x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Druse and zirconia",,18k GOLD Plated,GOLD-01,,100.0,0,FALSE,PERCENT,0,InStock,0,0
black-eclipse-necklace-18k-gold-plated,Product,Black Eclipse Necklace 18k Gold Plated,"Product Description :  *Designer : Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 15.74 inches + 0,59 pendant 
*Material: Plated Gold 18k      
*Stones: Druse and zirconia.",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-02_black-eclipse-necklace-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-02,,100.0,0,FALSE,PERCENT,0,InStock,0,0
black-eclipse-bracelet-18k-gold-plated,Product,Black Eclipse Bracelet 18k Gold Plated,"Product Description :  *Designer : Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 2,75 inches 
*Material: Plated Gold 18k      
*Stones: Druse and zirconia",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-03_black-eclipse-bracelet-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-03,,110.0,0,FALSE,PERCENT,0,OutOfStock,0,0
black-eclipse-ring-18k-gold-plated,Product,Black Eclipse Ring 18k Gold Plated,"Product Description :  *Designer Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 0,78 inches 
*Material: Plated Gold 18k      
*Stones: Druse and zirconia",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-04_black-eclipse-ring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-04,,100.0,0,FALSE,PERCENT,0,InStock,0,0
white-eclipse-earring-18k-gold-plated,Product,White Eclipse Earring 18k Gold Plated,"Product Description :  *Designer : Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 0,59 x 0,39 inches 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite and zirconia",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-05_white-eclipse-earring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-05,,100.0,0,FALSE,PERCENT,0,InStock,0,0
white-eclipse-necklace-18k-gold-plated,Product,White Eclipse Necklace 18k Gold Plated,"Product Description :  *Designer : Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 15.74 inches + 0,59 pendant 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite and zirconia",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-06_white-eclipse-necklace-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-06,,100.0,0,FALSE,PERCENT,0,InStock,0,0
white-eclipse-bracelet-18k-gold-plated,Product,White Eclipse Bracelet 18k Gold Plated,"Product Description :  *Designer : Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 2,75 inches 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite and zirconia",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-07_white-eclipse-bracelet-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-07,,110.0,0,FALSE,PERCENT,0,InStock,0,0
white-eclipse-ring-18k-gold-plated,Product,White Eclipse Ring 18k Gold Plated,"Product Description :  *Designer : Delicacy and sophistication in every detail.
This curved semi-jewelry earring combines the shine of small polished spheres with the luminous touch of cubic zirconia, creating a modern, elegant, and charming look.
*Dimensions : 0,78 inches 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite and zirconia",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-08_white-eclipse-ring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-08,,100.0,0,FALSE,PERCENT,0,InStock,0,0
essence-earrings-18k-gold-plated,Product,Essence Earrings 18k Gold Plated,"Product Description :  *Designer : A light and timeless piece, ideal for those who value discreet yet stylish jewelry — perfect for everyday wear or more refined combinations.
*Dimensions : 0,39 x 0,47 inches 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-09_essence-earrings-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-09,,100.0,0,FALSE,PERCENT,0,InStock,0,0
essence-ring-18k-gold-plated,Product,Essence Ring 18k Gold Plated,"Product Description :  *Designer : A light and timeless piece, ideal for those who value discreet yet stylish jewelry — perfect for everyday wear or more refined combinations.
*Dimensions : 1.18 inches 
*Material: Plated Gold 18k      
*Stones: Quartz Aragonite ,",https://wix-18k-fev26.pages.dev/18k%20GOLD%20Plated/REF-10_essence-ring-18k-gold-plated_1.webp,18k GOLD Plated,GOLD-10,,100.0,0,FALSE,PERCENT,0,InStock,0,0
