handleId,fieldType,name,description,productImageUrl,collection,sku,price,visible
premium-fancy-yellow-earring,Product,Premium Fancy Yellow Earring,"Delicate and full of charm, this sterling silver earring features a heart-shaped center stone in a soft yellow hue, surrounded by a halo of crystal zirconia that enhances its brilliance even more.
*Dimensions : 0.39 x 0.39 inches
*Material: Sterling silver
*Stones: zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-39_premium-fancy-yellow-earring_1.webp,925 Silver; New Arrivals,REF-39,65,FALSE
premium-fancy-yellow-ring,Product,Premium Fancy Yellow Ring,"Delicate and full of charm, this sterling silver ring features a heart-shaped center stone in a soft yellow hue, surrounded by a halo of crystal zirconia that enhances its brilliance even more.
*Dimensions : 0.39 x 0.39 inches
*Material: Sterling silver
*Stones: zirconia
Size 8",https://wix-18k-fev26.pages.dev/925%20Silver/REF-40_premium-fancy-yellow-ring_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-40_premium-fancy-yellow-ring_2.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-40_premium-fancy-yellow-ring_3.webp,925 Silver; New Arrivals,REF-40,65,FALSE
premium-fancy-yellow-bracelet,Product,Premium Fancy Yellow Bracelet,"Delicate and full of charm, this sterling silver bracelet features a heart-shaped center stone in a soft yellow hue, surrounded by a halo of crystal zirconia that enhances its brilliance even more.
*Dimensions Pendant : 0.39 x 0.39 inches *Dimensions : 6.69 inches
*Material: Sterling silver
*Stones: zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-41_premium-fancy-yellow-bracelet_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-41_premium-fancy-yellow-bracelet_2.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-41_premium-fancy-yellow-bracelet_3.webp,925 Silver; New Arrivals,REF-41,100,FALSE
fusion-turmalina-triangle-earring,Product,Fusion Turmalina Triangle Earring,"Elegant and contemporary, this sterling silver earring features an intense fusion tourmaline stone in a rounded triangular geometric shape, surrounded by a delicate halo of crystal zirconia that enhances its brilliance even more.
*Dimensions : 0.59 x 0.59 inches
*Material: Sterling silver
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-42_fusion-turmalina-triangle-earring_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-42_fusion-turmalina-triangle-earring_2.webp,925 Silver; New Arrivals,REF-42,125,FALSE
fusion-turmalina-triangle-necklace,Product,Fusion Turmalina Triangle Necklace,"Elegant and contemporary, this sterling silver necklace features an intense fusion tourmaline stone in a rounded triangular geometric shape, surrounded by a delicate halo of crystal zirconia that enhances its brilliance even more.
*Dimensions Pendant:0.59 x 0.59 inches *Dimension Chain : 21.65 inches
*Material: Sterling silver
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-43_fusion-turmalina-triangle-necklace_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-43_fusion-turmalina-triangle-necklace_2.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-43_fusion-turmalina-triangle-necklace_3.webp,925 Silver; New Arrivals,REF-43,100,FALSE
fusion-turmalina-triangle-earring,Product,Fusion Turmalina Triangle Earring,"Elegant and contemporary, this sterling silver earring features an intense fusion tanzanita stone in a rounded triangular geometric shape, surrounded by a delicate halo of crystal zirconia that enhances its brilliance even more.
*Dimensions : 0.59 x 0.59 inches
*Material: Sterling silver
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-44_fusion-turmalina-triangle-earring_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-44_fusion-turmalina-triangle-earring_2.webp,925 Silver; New Arrivals,REF-44,125,FALSE
fusion-turmalina-triangle-ring,Product,Fusion Turmalina Triangle Ring,"Elegant and contemporary, this sterling silver ring features an intense fusion tanzanita stone in a rounded triangular geometric shape, surrounded by a delicate halo of crystal zirconia that enhances its brilliance even more.
*Dimensions : 0.59 x 0.59 inches
*Material: Sterling silver
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-45_fusion-turmalina-triangle-ring_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-45_fusion-turmalina-triangle-ring_2.webp,925 Silver; New Arrivals,REF-45,100,FALSE
butterfly-glow-necklace,Product,Butterfly Glow Necklace,"Romantic and sophisticated, this sterling silver necklace features three delicate butterflies adorned with crystal zirconia, creating a luminous and elegant effect against the skin.
*Dimensions 3 Pendant : 0.19 x 0.98 inches. *Dimensions Chain : 17.71 inches
*Material: Sterling silver
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-46_butterfly-glow-necklace_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-46_butterfly-glow-necklace_2.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-46_butterfly-glow-necklace_3.webp,925 Silver; New Arrivals,REF-46,85,FALSE
butterfly-glow-ear-cuff,Product,Butterfly Glow Ear cuff,"Romantic and sophisticated, this sterling silver ear cuff features three delicate butterflies adorned with crystal zirconia, creating a luminous and elegant effect against the skin.
*Dimensions : 0.19 x 0.98 inches.
*Material: Sterling silver
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-48_butterfly-glow-ear-cuff_1.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-48_butterfly-glow-ear-cuff_2.webp;https://wix-18k-fev26.pages.dev/925%20Silver/REF-48_butterfly-glow-ear-cuff_3.webp,925 Silver; New Arrivals,REF-48,85,FALSE
two-stars-earrings,Product,Two Stars Earrings,"Sophisticated and full of personality, this sterling silver earring features two stars adorned with crystal zirconia, creating a luminous and contemporary effect.
*Dimensions : 0.78 inches
*Material: Sterling silver
*Stones: Zirconia",https://wix-18k-fev26.pages.dev/925%20Silver/REF-49_two-stars-earrings_1.webp,925 Silver; New Arrivals,REF-49,95,FALSE
